Zone,Channel,Year,Month,Ton,Amount,Baht
1,1,2018,7,44008.82000000006,37857753.61,860.2310539114648
1,1,2018,8,42958.00999999992,33994509.36000001,791.3427405040426
1,1,2018,9,33343.74999999993,20291940.40000001,608.5680344892237
1,1,2018,10,38138.11000000009,25469751.999999985,667.8294231150921
1,1,2018,11,31019.59999999998,21177912.59999999,682.7268114353507
1,1,2018,12,38813.35000000004,29079119.19999996,749.2040547904246
1,1,2019,1,38852.80000000003,25337255.600000016,652.134610632953
1,1,2019,2,37378.83000000005,23350688.00000001,624.7035554617407
1,1,2019,3,34023.3500000001,24321309.60000001,714.8417072392912
1,1,2019,4,29220.190000000006,20219415.299999975,691.9672767357081
1,1,2019,5,26050.769999999968,16216007.799999971,622.4771014446019
1,1,2019,6,23523.960000000025,15657476.299999997,665.596961565994
1,1,2019,7,20624.11,17005297.0,824.5348284119897
1,1,2019,8,22707.959999999985,19753241.699999977,869.8818255801045
1,1,2019,9,15216.250000000016,13651975.440000013,897.1971044114022
1,1,2019,10,19494.300000000003,18862036.11000004,967.5667302750054
1,1,2019,11,17896.790000000015,16587820.349999966,926.8600877587518
1,1,2019,12,30502.340000000077,28049633.26,919.5895547685827
1,1,2020,1,34793.08000000005,32727430.799999982,940.6304587004063
1,1,2020,2,34372.630000000034,34384123.09999998,1000.3343677804097
1,1,2020,3,22190.48000000008,18614421.250000022,838.8471655412571
1,1,2020,4,16325.900000000005,11201789.199999979,686.1360905064943
1,1,2020,5,15221.340000000024,9613754.500000006,631.5971195702868
1,1,2020,6,11751.930000000015,8004053.499999999,681.0841708553394
1,1,2020,7,8159.410000000002,6575412.2,805.8685860864939
N1,N1BK,2017,4,12.61,12610.0,1000.0
N1,N1BK,2018,1,1.53,765.0,500.0
N1,N1BK,2018,8,78.6,81128.8,1032.173027989822
N1,N1BK,2018,9,14.870000000000001,14705.800000000001,988.9576328177538
N1,N1BK,2018,10,22.25,22294.5,1002.0
N1,N1BK,2019,1,5.609999999999999,4102.5,731.2834224598931
N1,N1BT,2018,2,4.15,2075.0,499.99999999999994
N1,N1BT,2018,4,0.83,830.0,1000.0
N1,N1BT,2018,9,1.85,2090.5,1130.0
N1,N1BT,2018,12,25.349999999999998,26727.1,1054.3234714003945
N1,N1BT,2019,8,1.51,1479.0,979.4701986754967
N1,N1DG,2017,3,7.34,7736.0,1053.9509536784742
N1,N1DG,2017,10,56.22,56220.0,1000.0
N1,N1DG,2018,2,2.29,2175.5,950.0
N1,N1DG,2018,3,3.76,3572.0,950.0
N1,N1DG,2018,4,1.74,1653.0,950.0
N1,N1DG,2018,5,10.950000000000001,9855.0,899.9999999999999
N1,N1DG,2018,7,13.069999999999999,11763.0,900.0000000000001
N1,N1DG,2018,8,74.30999999999999,66879.0,900.0000000000001
N1,N1DG,2018,9,104.78999999999999,104567.2,997.8738429239431
N1,N1DG,2018,10,81.14999999999999,78854.70000000001,971.7153419593349
N1,N1DG,2018,11,32.86,32202.799999999996,979.9999999999999
N1,N1DG,2018,12,115.46000000000005,115334.6,998.9139095790746
N1,N1DG,2019,1,129.99000000000007,129943.0,999.6384337256707
N1,N1DG,2019,2,136.94000000000003,136897.0,999.6859938659265
N1,N1DG,2019,3,175.02000000000007,169516.00000000003,968.5521654668036
N1,N1DG,2019,4,73.09,70846.20000000001,969.3008619510194
N1,N1DG,2019,5,91.77999999999999,88877.5,968.3754630638484
N1,N1DG,2019,6,9.26,8982.199999999999,969.9999999999999
N1,N1DG,2019,7,3.54,3229.5,912.2881355932203
N1,N1DG,2019,8,31.61,28430.1,899.4020879468522
N1,N1DG,2019,9,25.73,23157.0,900.0
N1,N1DG,2019,10,35.53,31977.0,900.0
N1,N1DG,2019,11,8.309999999999999,7479.0,900.0000000000001
N1,N1DG,2019,12,15.010000000000002,14259.5,949.9999999999999
N1,N1DG,2020,1,16.0,14400.0,900.0
N1,N1DG,2020,2,2.63,2235.6,850.0380228136883
N1,N1DG,2020,3,25.07,21810.9,870.0
N1,N1DG,2020,5,12.44,10822.8,870.0
N1,N1DK,2017,3,14.030000000000001,14862.5,1059.3371347113327
N1,N1DK,2017,4,3.5300000000000002,3706.5,1050.0
N1,N1DK,2017,5,26.480000000000004,24667.5,931.5521148036253
N1,N1DK,2017,8,9.34,9321.0,997.9657387580299
N1,N1DK,2017,9,20.95,18566.0,886.2052505966587
N1,N1DK,2018,2,14.1,8008.5,567.9787234042553
N1,N1DK,2018,3,15.760000000000002,10457.0,663.5152284263959
N1,N1DK,2018,4,29.71,23612.5,794.7660720296196
N1,N1DK,2018,9,26.64,26256.0,985.5855855855856
N1,N1DK,2019,1,16.97,16970.0,1000.0000000000001
N1,N1DK,2019,2,71.1,70935.0,997.6793248945148
N1,N1DK,2019,3,7.9399999999999995,7933.8,999.2191435768262
N1,N1DK,2019,4,42.67999999999999,41681.600000000006,976.607310215558
N1,N1DK,2019,5,47.17000000000001,45736.700000000004,969.6141615433537
N1,N1DK,2019,6,5.22,5063.4,970.0
N1,N1DK,2019,7,19.74,18127.4,918.3080040526851
N1,N1DK,2019,8,4.58,4122.0,900.0
N1,N1DK,2019,9,6.699999999999999,6030.0,900.0000000000001
N1,N1DK,2019,10,24.959999999999997,22464.0,900.0000000000001
N1,N1DK,2019,11,2.52,2268.0,900.0
N1,N1DK,2019,12,2.89,2601.0,900.0
N1,N1DK,2020,1,1.08,972.0,899.9999999999999
N1,N1DK,2020,4,6.199999999999999,5314.2,857.1290322580646
N1,N1DK,2020,5,9.18,7932.000000000001,864.0522875816995
N1,N1NK,2017,3,63.28000000000001,67052.0,1059.60809102402
N1,N1NK,2017,4,49.08,53006.4,1080.0
N1,N1NK,2017,5,46.38,46053.600000000006,992.9624838292368
N1,N1NK,2017,6,58.069999999999986,57908.399999999994,997.2171517134494
N1,N1NK,2017,7,23.880000000000003,20956.8,877.5879396984924
N1,N1NK,2017,8,70.45,62133.59999999999,881.9531582682752
N1,N1NK,2017,9,81.98,76269.4,930.3415467187118
N1,N1NK,2017,10,45.349999999999994,41593.2,917.1598676957002
N1,N1NK,2017,11,100.87999999999998,110314.2,1093.519032513878
N1,N1NK,2017,12,186.82000000000002,214810.49999999988,1149.8260357563422
N1,N1NK,2018,1,336.7600000000001,353138.0,1048.6340420477488
N1,N1NK,2018,2,244.98,256632.0,1047.5630663727652
N1,N1NK,2018,3,283.0799999999998,311128.0,1099.081531722482
N1,N1NK,2018,4,234.49999999999994,252507.39999999997,1076.790618336887
N1,N1NK,2018,5,253.9799999999999,268779.1999999999,1058.2691550515788
N1,N1NK,2018,6,234.00999999999996,245812.10000000006,1050.4341694799373
N1,N1NK,2018,7,214.2499999999998,226190.5,1055.7316219369905
N1,N1NK,2018,8,176.92999999999992,184630.6000000001,1043.5234273441483
N1,N1NK,2018,9,137.17000000000002,144539.2,1053.723117299701
N1,N1NK,2018,10,31.049999999999997,31456.800000000003,1013.1014492753625
N1,N1NK,2018,11,108.39999999999999,118889.59999999999,1096.7675276752768
N1,N1NK,2018,12,234.61999999999998,254615.90000000005,1085.2267496377124
N1,N1NK,2019,1,250.36000000000016,268886.2,1073.998242530755
N1,N1NK,2019,2,281.31,306196.5,1088.4664604884292
N1,N1NK,2019,3,28.66,30507.800000000003,1064.473133286811
N1,N1NK,2019,4,235.46999999999983,256609.0,1089.7736442009607
N1,N1NK,2019,5,50.45000000000001,54725.3,1084.7433102081268
N1,N1NK,2019,6,64.49000000000001,71668.20000000001,1111.3071794076602
N1,N1NK,2019,7,42.410000000000004,42868.100000000006,1010.8016977128036
N1,N1NK,2019,8,39.209999999999994,38525.4,982.5401683244072
N1,N1NK,2019,9,9.1,8628.0,948.1318681318681
N1,N1NK,2019,10,1.3,1300.0,1000.0
N1,N1NK,2019,11,19.939999999999998,19367.0,971.2637913741224
N1,N1NK,2019,12,53.16000000000002,52081.0,979.7027840481562
N1,N1NK,2020,1,34.14,32586.4,954.4932630345636
N1,N1NK,2020,2,77.76999999999997,73122.1,940.2353092452107
N1,N1NK,2020,3,141.18,132778.1,940.48802946593
N1,N1NK,2020,4,130.11999999999998,122452.1,941.0705502612975
N1,N1NK,2020,5,92.90999999999997,84738.59999999998,912.0503713270908
N1,N1NK,2020,6,42.86999999999999,40053.8,934.3083741544206
N1,N1NK,2020,7,52.67000000000001,48657.799999999996,923.8238086197074
N1,N1PB,2017,3,1.0,1000.0,1000.0
N1,N1PB,2017,4,153.68000000000004,146690.0,954.5158771473189
N1,N1PB,2017,5,117.96999999999998,111417.0,944.4519793167756
N1,N1PB,2017,6,39.360000000000014,39460.5,1002.5533536585363
N1,N1PB,2017,8,46.16999999999998,33790.5,731.87134502924
N1,N1PB,2017,9,13.24,7665.0,578.9274924471299
N1,N1PB,2018,1,88.88000000000001,75616.0,850.7650765076506
N1,N1PB,2018,2,90.31999999999998,68199.5,755.0874667847654
N1,N1PB,2018,3,26.68,19012.9,712.6274362818591
N1,N1PB,2018,4,142.8799999999999,111893.0,783.1256998880184
N1,N1PB,2018,5,32.76,24725.2,754.7374847374848
N1,N1PB,2018,7,47.93000000000001,43819.0,914.2290840809512
N1,N1PB,2018,8,32.97,32035.0,971.6408856536245
N1,N1PB,2018,9,149.18,147385.9,987.9735889529427
N1,N1PB,2018,10,127.87999999999997,123584.69999999998,966.4114795120427
N1,N1PB,2018,11,98.19,97812.4,996.1543945411956
N1,N1PB,2018,12,45.11000000000001,44580.9,988.2708933717578
N1,N1PB,2019,1,250.53999999999994,246309.4,983.114073601022
N1,N1PB,2019,2,381.0400000000002,383646.0,1006.839176989292
N1,N1PB,2019,3,173.02999999999994,173746.8,1004.1426342252792
N1,N1PB,2019,4,120.13000000000001,118311.1,984.8589028552401
N1,N1PB,2019,5,342.42,332749.8999999999,971.7595350738856
N1,N1PB,2019,6,198.07999999999998,195592.7999999999,987.4434571890141
N1,N1PB,2019,7,104.73000000000002,96180.8,918.3691396925426
N1,N1PB,2019,8,111.92999999999996,99702.9,890.7611900294829
N1,N1PB,2019,9,110.27,99748.50000000003,904.5842024122611
N1,N1PB,2019,10,113.06000000000002,101770.70000000003,900.147709180966
